tavg,tmin,tmax,prcp,wspd,pres,PC1,PC2
0.1,-5.8,8.0,0.0,5.4,1022.5,-2.3918269029240204,-1.5784647296530545
-0.4,-5.0,5.7,0.0,6.6,1022.9,-2.467301202357933,-1.421550964723875
-1.6,-6.2,5.3,0.0,8.9,1019.4,-2.4382495845179775,-0.7629645731076536
-2.5,-4.9,0.5,0.0,8.5,1014.6,-2.523897272951043,-0.3169200402364322
-1.6,-4.1,2.3,0.0,8.0,1014.2,-2.333923608776063,-0.393372564047679
-2.8,-5.4,1.4,0.0,10.4,1014.2,-2.4470062628958877,-0.028769528976312932
-4.1,-7.5,0.6,0.0,10.6,1005.6,-2.4030153054734966,0.8229165173490197
-6.0,-9.5,-3.7,0.5,23.9,1012.7,-2.655234149211658,2.1456861636296933
-4.9,-10.9,2.5,0.0,13.4,1011.1,-2.6344660440603347,0.7216475210347778
-3.2,-5.8,0.9,0.0,22.2,1002.4,-1.745617834853,2.6451336270003125
-7.6,-12.0,-4.9,0.0,18.4,1005.1,-2.8835836433921602,2.08882962718393
-7.6,-12.7,-2.0,0.3,19.4,1008.9,-2.868663428748306,1.883281116521698
-14.5,-18.9,-10.7,1.7,33.8,1016.5,-3.8875595152002203,3.587509678568399
-14.8,-18.4,-11.8,0.8,20.1,1016.8,-4.377858286262353,1.6131137414532488
-16.3,-19.6,-13.3,2.9,21.9,1024.9,-4.864419290971054,1.4386068657071924
-11.7,-20.8,-2.1,0.0,13.0,1021.8,-4.2108083411288195,-0.04864977138562393
-3.3,-9.4,3.3,0.0,14.1,1008.4,-2.301492664070475,1.0139276121388443
-2.0,-7.2,4.9,0.0,23.3,1016.9,-1.9813055276540747,1.4275492348715475
-6.6,-10.4,-2.2,0.0,12.0,1028.8,-3.568737498131625,-0.9814738965689626
-4.1,-9.1,1.6,0.0,13.7,1019.4,-2.788075930624157,-0.0017308247721517433
1.5,-4.8,8.6,0.0,8.4,1010.5,-1.7331511647005187,-0.12602913966067375
2.0,-2.8,7.8,0.0,7.0,1012.5,-1.7396410372136553,-0.5104972509748611
2.0,-2.0,8.0,0.0,6.3,1014.1,-1.7567677302180855,-0.7606507241046754
1.2,-3.4,6.9,0.0,5.0,1016.0,-2.0480490721055715,-1.0676639415933407
1.1,-3.8,6.6,0.2,6.4,1016.2,-2.057776006139113,-0.8620798070160016
1.4,-0.7,4.8,1.8,8.1,1023.3,-2.1621726050123002,-1.0834976345158316
0.7,-4.6,6.5,0.0,8.2,1029.1,-2.4858458163482235,-1.793599651007636
3.6,-3.5,12.2,0.0,7.0,1027.8,-1.9524274037669673,-1.9665501723304997
4.8,-1.1,11.5,0.0,7.2,1027.1,-1.749427108088302,-1.9051161708747195
4.5,-1.5,12.1,0.0,5.5,1024.7,-1.737573733221462,-1.9191606113163329
4.3,-2.4,12.9,0.0,6.1,1019.0,-1.555808561148305,-1.3237783033689305
6.0,0.9,12.9,0.0,7.0,1011.0,-0.9747074795535461,-0.5345226716277087
4.0,0.3,8.9,1.1,8.8,1001.7,-1.0002756232006709,0.772518055389165
2.3,-0.8,4.4,21.2,13.1,1001.0,-1.7004954916265793,4.017104081416814
0.5,-2.6,4.3,0.1,6.6,1016.5,-2.1430073760011092,-0.8466216447637639
1.2,-3.9,7.2,0.0,7.1,1018.8,-2.082482307393697,-1.0359816794275696
4.7,-1.4,11.7,0.0,11.2,1010.0,-1.0762811080854513,0.17929864850291646
5.5,1.4,11.3,0.0,14.5,997.7,-0.3783560532474394,1.7020477680558068
